Time [ms],ACC_X [mg],ACC_Y [mg],ACC_Z [mg],GYRO_X [dps],GYRO_Y [dps],GYRO_Z [dps],MAG_X [uT],MAG_Y [uT],MAG_Z [uT]
37629696.0,-472.167938,-813.476501,540.039063,-2.862595,2.908397,0.10687,4.8,-47.100002,15.000001
37812960.0,-393.066376,-718.261658,606.445313,-5.580153,5.038168,1.007634,5.85,-47.700001,16.950001
37996348.0,-457.031219,-742.67572,560.546875,-5.175572,2.557252,0.007634,5.4,-48.450001,15.900001
38181304.0,-379.882782,-752.441345,626.464844,-1.351145,4.763359,0.885496,6.45,-48.600002,16.050001
38364544.0,-488.769501,-834.960876,663.085876,-1.290076,2.40458,0.374046,4.5,-48.600002,15.000001
38547768.0,-370.117157,-835.449158,604.003906,0.038168,2.206107,1.877863,6.0,-48.600002,15.750001
38733008.0,-515.136719,-714.843689,415.039032,-3.748092,4.946565,0.832061,6.9,-47.700001,16.200001
38916204.0,-508.300751,-832.031189,478.027313,-2.603053,4.244275,2.282443,6.15,-48.450001,15.450001
39101272.0,-475.585907,-741.210876,521.972656,-3.916031,5.839694,1.183206,5.4,-48.900002,15.150001
40048400.0,-367.187469,-860.839783,568.359375,-1.908397,2.709924,1.664122,4.65,-48.450001,15.900001
40257564.0,-390.624969,-697.265564,556.152344,-7.900764,6.274809,1.465649,6.6,-47.700001,16.200001
40438068.0,-346.679657,-468.749969,646.484314,-5.305344,6.526718,0.251908,4.35,-47.700001,15.900001
40619532.0,-275.390625,-591.796875,716.308533,-1.10687,3.748092,0.671756,4.65,-49.200001,14.700001
40803076.0,-458.007782,-677.246033,678.222595,-0.442748,0.992366,0.40458,6.0,-48.300003,15.000001
40984244.0,-544.433594,-632.324219,584.472656,-3.381679,4.068702,0.053435,6.45,-47.850002,15.000001
41165860.0,-339.843719,-566.894531,668.945251,-4.435114,5.206107,-0.70229,5.25,-47.850002,15.3
41349228.0,-386.230438,-512.207031,657.226501,-3.847328,5.045802,2.801527,6.75,-47.100002,15.750001
41530780.0,-332.519501,-673.339783,688.476501,-0.717557,3.145038,0.229008,6.6,-47.25,15.450001
41712360.0,-385.253876,-589.84375,607.910156,0.694656,3.618321,-0.519084,5.4,-48.450001,15.150001
42648808.0,-462.890594,-587.402344,629.394531,-4.022901,4.122138,0.801527,6.45,-49.050003,14.250001
42831992.0,-381.347626,-641.113281,765.136658,-0.725191,1.312977,-1.335878,5.4,-49.200001,17.400002
43015052.0,-379.394501,-554.199219,681.640564,-2.557252,3.633588,2.480916,5.55,-47.400002,15.000001
43199660.0,-313.964844,-702.148376,689.941345,-2.160305,3.198473,0.580153,5.55,-49.050003,15.750001
43383052.0,-388.671844,-655.273376,569.335938,0.038168,2.78626,-0.007634,5.1,-47.700001,16.200001
43566248.0,-410.156219,-906.249939,528.320313,-2.335878,4.099236,1.732824,5.1,-49.200001,15.450001
43751768.0,-357.910126,-635.253906,617.675781,-6.183206,6.030534,-0.687023,5.85,-49.200001,16.950001
43934936.0,-411.132782,-719.23822,618.164063,-4.625954,4.770992,0.007634,5.4,-47.25,15.900001
44118364.0,-378.906219,-745.117126,630.859375,-2.167939,4.832061,2.564885,4.5,-48.600002,16.050001
44303380.0,-437.499969,-813.476501,603.515625,-2.320611,4.717557,-0.091603,5.25,-49.500004,15.000001
45244508.0,-361.328094,-869.140564,583.984375,-0.061069,0.992366,-0.78626,6.15,-47.700001,15.450001
45427508.0,-623.046875,-835.449158,490.722626,-2.854962,4.389313,-0.618321,5.85,-48.450001,16.200001
45612192.0,-458.984344,-823.730408,497.070282,-2.587786,4.068702,1.534351,5.25,-47.850002,14.55
45795520.0,-441.406219,-705.566345,527.832031,-0.251908,2.908397,2.030534,5.55,-47.850002,15.3
45978588.0,-348.632782,-671.874939,644.531189,1.969466,2.343511,-0.022901,4.5,-49.050003,16.050001
46163624.0,-402.832001,-630.371094,636.71875,2.572519,-0.175573,1.351145,6.75,-49.500004,16.5
46346824.0,-502.929657,-906.73822,626.464844,0.89313,-1.450382,-0.206107,5.4,-48.900002,16.650002
46530224.0,-516.601563,-700.195251,569.335938,0.396947,2.450382,1.664122,5.85,-48.450001,18.900002
46715104.0,-479.980438,-668.45697,561.523438,-1.923664,3.435115,1.038168,5.85,-48.0,17.400002
46897696.0,-269.042969,-554.199219,678.222595,0.80916,4.053435,1.152672,6.15,-48.450001,15.150001
47843152.0,-372.070282,-559.570313,680.664001,4.007634,0.671756,0.931298,6.15,-47.700001,16.650002
48027652.0,-363.769501,-852.539001,634.765625,1.725191,2.167939,-0.984733,6.45,-46.650002,16.050001
48210308.0,-493.164032,-656.73822,512.695313,1.40458,2.51145,1.587786,5.25,-47.400002,16.050001
48392864.0,-365.234344,-645.507751,559.082031,2.038168,1.877863,0.267176,5.25,-47.400002,16.800001
48577252.0,-306.152344,-587.402344,629.882813,-3.320611,4.091603,-0.129771,5.55,-47.400002,16.5
48760056.0,-379.394501,-601.074219,648.92572,-1.229008,4.419847,-0.450382,6.6,-48.0,16.650002
48942728.0,-210.937485,-675.292908,698.242126,3.091603,0.328244,-1.442748,6.15,-46.5,14.700001
49127172.0,-461.425751,-690.917908,584.960938,2.656489,2.778626,-0.557252,6.15,-47.700001,15.150001
49309832.0,-349.121063,-718.749939,560.546875,0.992366,1.335878,-1.618321,6.45,-47.400002,14.55
49492644.0,-337.402313,-543.945313,628.417969,0.145038,3.022901,0.045802,5.55,-47.400002,15.750001
50448848.0,-394.042938,-644.042908,638.183594,0.068702,3.374046,-0.969466,5.55,-48.300003,15.750001
50631652.0,-196.777328,-653.320251,703.124939,3.389313,1.022901,-0.122137,6.0,-47.850002,15.3
50816112.0,-448.242157,-540.039063,580.078125,2.70229,2.145038,1.328244,7.2,-48.600002,15.750001
50998952.0,-377.929657,-687.98822,526.855469,2.076336,1.312977,0.496183,4.65,-47.700001,16.200001
51182104.0,-333.984344,-540.527344,686.035095,-1.381679,1.984733,0.816794,6.15,-47.700001,16.200001
51366460.0,-405.761688,-673.828064,627.441406,1.862595,1.030534,-0.083969,6.0,-48.300003,16.5
51549272.0,-377.441376,-889.648376,636.230469,2.832061,-0.541985,-1.557252,5.85,-47.700001,16.200001
51732052.0,-488.281219,-747.070251,533.691406,3.061069,0.778626,0.732824,6.15,-47.700001,15.900001
51916944.0,-407.226532,-770.01947,530.761719,0.587786,2.045802,-0.969466,5.55,-48.600002,15.3
52099764.0,-428.222626,-838.867126,653.808533,-3.122137,4.656488,0.015267,5.55,-48.300003,15.750001
53047556.0,-375.488251,-818.359314,572.265625,0.351145,4.717557,2.984733,6.45,-49.050003,15.750001
53232384.0,-562.5,-807.128845,501.464813,-0.847328,2.442748,1.007634,6.15,-47.700001,15.450001
53415084.0,-504.394501,-832.51947,537.597656,-0.007634,3.916031,0.51145,5.1,-46.800003,16.650002
53597600.0,-512.695313,-750.976501,572.265625,-0.450382,2.778626,0.389313,5.4,-46.5,14.700001
53781820.0,-447.753876,-723.14447,678.710876,-1.557252,4.442748,-0.427481,7.35,-49.200001,16.650002
53964384.0,-433.593719,-733.398376,615.234375,-0.335878,2.099237,0.51145,6.6,-47.700001,15.450001
54147148.0,-441.894501,-877.441345,609.375,3.549618,1.160305,-2.19084,5.4,-48.900002,16.200001
54331632.0,-536.132813,-747.070251,507.812469,-1.091603,4.343512,1.732824,6.6,-47.700001,15.450001
54514644.0,-487.304657,-709.960876,538.085938,-2.21374,2.465649,1.099237,6.15,-48.0,15.450001
54697452.0,-474.609344,-590.332031,645.507751,-2.694656,5.030534,-0.290076,6.45,-47.850002,16.5
55651588.0,-339.355438,-550.292969,753.417908,-0.496183,1.229008,1.091603,5.85,-48.900002,15.450001
55834628.0,-247.558578,-658.203064,696.777283,1.541985,3.320611,1.198473,5.4,-48.900002,16.200001
56017340.0,-386.718719,-709.472595,691.89447,0.877863,2.519084,-0.282443,6.15,-48.450001,15.450001
56202572.0,-463.867157,-717.773376,656.249939,0.419847,3.122137,-0.167939,6.0,-48.600002,15.3
56385752.0,-483.398407,-694.335876,573.242188,-0.816794,1.030534,-0.557252,5.4,-48.900002,15.900001
56568820.0,-339.843719,-603.027344,608.886719,-8.175572,5.679389,0.954198,5.25,-47.100002,15.750001
56753636.0,-454.101532,-648.92572,642.578064,-4.778626,5.51145,0.961832,5.55,-48.300003,16.5
56936564.0,-322.265594,-678.222595,669.921814,-4.305344,4.740458,1.267176,5.85,-47.25,15.900001
57119728.0,-417.480438,-809.08197,611.816406,-2.778626,5.129771,-0.145038,5.85,-47.700001,16.200001
